	Date	Open	High	Low	Close	Adj Close	Volume	EMA_50	EMA_14	EMA_8	RSI	K	D	ATR_14	RSI_indicator	Candle_indicator	EMA_indicator	Indicator	Entry	Target	StopLoss	Exit Row	Bought	Outcome	Initial Money (£)	N_shares_purchased	Purchase_total_inc_fees	N_shares_sold	Sales_total_inc_fees	Profit/Loss on Sales (£)	Row Balance (£)	Final Money (£)
0	2020-02-25 08:00:00+00:00	126.0	134.5	126.0	130.0	130.0	14619	130.0	130.0	130.0					.	.	.	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
1	2020-02-25 09:00:00+00:00	131.0	134.5	128.0	128.5	128.5	332137	129.94117647058823	129.8	129.66666666666666					.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
2	2020-02-25 10:00:00+00:00	131.0	131.0	128.0	129.75999450683594	129.75999450683594	48358	129.93407129553913	129.79466593424482	129.68740618670427					.	Long	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
3	2020-02-25 11:00:00+00:00	129.75999450683594	132.0	129.75999450683594	130.5	130.5	93513	129.95626457806702	129.88871047634552	129.86798258965888					.	Long	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
4	2020-02-25 12:00:00+00:00	131.5	131.5	128.5	130.36000061035156	130.36000061035156	68968	129.9720973636468	129.95154916087967	129.9773199275906					.	Long	.	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
5	2020-02-25 14:00:00+00:00	129.1300048828125	129.1300048828125	129.1300048828125	129.1300048828125	129.1300048828125	1020	129.93907412910428	129.84200992380406	129.7890276954177					.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
6	2020-02-25 15:00:00+00:00	129.1300048828125	130.5	128.0	129.0	129.0	64072	129.90224769266882	129.7297419339635	129.6136882075471					.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
7	2020-02-25 16:00:00+00:00	129.0	130.5	128.0	130.0	130.0	102414	129.90608111648575	129.7657763427684	129.69953527253665					.	Long	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
8	2020-02-26 08:00:00+00:00	129.1842041015625	131.5	126.75	127.54000091552734	127.54000091552734	0	129.81329365762465	129.46900628580292	129.2196387487568					.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
9	2020-02-26 09:00:00+00:00	129.5	131.5	118.27999877929688	121.0	121.0	194375	129.46767429850212	128.33980544769588	127.39305236014418					.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
10	2020-02-26 10:00:00+00:00	119.88999938964844	121.5	118.27999877929688	120.9000015258789	120.9000015258789	112440	129.13168713094828	127.34783159145361	125.9501521747519					.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
11	2020-02-26 11:00:00+00:00	119.6500015258789	122.0	119.6500015258789	120.1500015258789	120.1500015258789	42917	128.7794641660436	126.38812091604366	124.66122980833568					.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
12	2020-02-26 12:00:00+00:00	120.1500015258789	123.0	120.1500015258789	121.5199966430664	121.5199966430664	23954	128.49477916514255	125.7390376796467	123.9631779938314					.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
13	2020-02-26 13:00:00+00:00	122.0	123.0	120.38999938964844	120.38999938964844	120.38999938964844	38180	128.17694466414278	125.0258325743136	123.16913830401296				4.176428658621652	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
14	2020-02-26 14:00:00+00:00	120.38999938964844	126.0	120.38999938964844	123.5	123.5	36511	127.99353506947052	124.82238823107178	123.24266312534341	38.493974736096476			3.9700001307896207	.	Long	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
15	2020-02-26 15:00:00+00:00	123.47000122070312	127.5	123.47000122070312	127.5	127.5	43648	127.9741807530207	125.17940313359556	124.1887379863782	52.29494573223125			3.7935714721679688	.	Long	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
16	2020-02-26 16:00:00+00:00	125.25	130.0	125.25	130.0	130.0	77965	128.0536246450591	125.82214938244948	125.48012954496082	58.55438299586245			3.9185714721679688	.	Long	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
17	2020-02-27 08:00:00+00:00	122.0	122.0	121.0	121.0	121.0	7256	127.77701191388032	125.17919613145622	124.4845452016362	38.811260841846206			4.40142822265625	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
18	2020-02-27 09:00:00+00:00	122.0	122.0	121.0	121.75	121.75	37383	127.54065850549286	124.7219699805954	123.87686849016148	40.60841276821393			4.258571079799107	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
19	2020-02-27 10:00:00+00:00	121.75	124.0	121.0	121.0	121.0	100726	127.28416209351275	124.22570731651601	123.23756438123671	39.36335339812251			4.38499995640346	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
20	2020-02-27 11:00:00+00:00	123.5	123.5	120.5	121.0	121.0	40665	127.0377243643554	123.7956130076472	122.740327852073	39.36335339812251			4.420714242117746	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
21	2020-02-27 12:00:00+00:00	121.0999984741211	121.5	119.0	119.0	119.0	78855	126.72251948732186	123.15619793996092	121.90914388494566	35.954090785110466			4.420714242117746	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
22	2020-02-27 13:00:00+00:00	120.5	121.5	118.5	119.1500015258789	119.1500015258789	66900	126.42555799863783	122.62203841808332	121.29600113848639	36.39901146997897			4.295714242117746	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
23	2020-02-27 14:00:00+00:00	119.1500015258789	120.32499694824219	118.5	119.1500015258789	119.1500015258789	32238	126.14024205852964	122.1591001657894	120.81911233568474	36.39901146997898			3.481785365513393	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
24	2020-02-27 15:00:00+00:00	119.27999877929688	120.875	118.5	120.69999694824219	120.69999694824219	38895	125.92689911302817	121.96455307011644	120.7926422495864	41.286993771996876			3.4214281354631697	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
25	2020-02-27 16:00:00+00:00	120.875	125.0	119.88999938964844	125.0	125.0	213689	125.89055012820354	122.36927932743426	121.72761063856719	52.250667350378755			3.6185711451939175	.	Long	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
26	2020-02-28 08:00:00+00:00	122.0	122.0	115.0	115.51000213623047	115.51000213623047	8562	125.48346981479284	121.45470903527375	120.34591986027013	36.18926206988271			4.129285539899554	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
27	2020-02-28 09:00:00+00:00	118.2750015258789	119.5	115.0	116.5	116.5	163511	125.1311768808794	120.79408116390393	119.49127100243233	38.319330730863435			4.264285496303013	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
28	2020-02-28 10:00:00+00:00	117.0	119.5	116.0	116.5	116.5	43478	124.79269935613902	120.22153700871674	118.82654411300292	38.319330730863435			4.1135711669921875	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
29	2020-02-28 11:00:00+00:00	117.0	117.0	117.0	117.0	117.0	3474	124.48710330295711	119.79199874088783	118.42064542122449	39.502220789855606	12.210181206289255		3.8614283970424106	.	Short	Short	-							1000.0	0	0.0	0	0.0	0.0	0.0	1000.0
